"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"WDHD1",0.0415173790766561,-1.25103389041862,0,0.077,1
"MFAP3",0.0415173790766561,-1.09601833117485,0,0.077,1
"HIST2H3D",0.0415173790766561,-0.842985291141357,0,0.077,1
"FGFBP3",0.0415173790766564,-1.16174748326812,0,0.077,1
"ZNF319",0.0415173790766567,-1.0323344367952,0,0.077,1
"NPIPB3",0.0415173790766567,-0.943845963142837,0,0.077,1
"PRKRA",0.0415331861918842,0.258585036208571,0.321,0.327,1
"TIMM8A",0.041768145361277,1.36641077183033,0.103,0.019,1
"RPS28",0.0419733481925153,0.000513228345479178,1,1,1
"SUGT1",0.0420688001732121,0.432860181185091,0.397,0.269,1
"CXCL13",0.0420920886680455,-0.182098207794432,0.564,0.577,1
"LMNB2",0.0423738939491741,0.807794853134499,0.115,0.077,1
"C9orf64",0.0425737509600755,-0.853044669924209,0.013,0.096,1
"LAT",0.0425919022921762,-0.0609994586848535,0.974,0.904,1
"CTLA4",0.0429068542658703,0.18827931420498,0.615,0.519,1
"DBH-AS1",0.0429541718864757,0.0219182750978844,0.09,0.058,1
"URM1",0.0430159343298415,-0.640559921971317,0.397,0.673,1
"RAB4B",0.0431502040901809,0.350739160632152,0.295,0.327,1
