"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CABIN1",2.98890163154033e-151,0.283355116272512,0.393,0.193,1.09396788616008e-146,"3","CABIN1"
"FRYL.1",3.2401869769571e-151,0.27313921858808,0.505,0.267,1.18594083543607e-146,"3","FRYL"
"COPS6",3.77720726634594e-151,0.260399276632865,0.493,0.256,1.38249563155528e-146,"3","COPS6"
"TC2N.1",9.96261715545624e-151,0.407155178349592,0.768,0.533,3.64641750506854e-146,"3","TC2N"
"HNRNPC",1.05166503540369e-150,0.366551661639618,0.871,0.67,3.84919919608103e-146,"3","HNRNPC"
"RERE",1.08236162638038e-150,0.297182150282714,0.471,0.246,3.96155178871483e-146,"3","RERE"
"IDH3G",1.27979511327134e-150,0.259555439074159,0.429,0.214,4.68417809408443e-146,"3","IDH3G"
"KPNB1",1.54206478403665e-150,0.33772274760304,0.666,0.405,5.64411131605253e-146,"3","KPNB1"
"PIK3R5",2.12988600458242e-150,-0.462776060147261,0.018,0.173,7.7955957653721e-146,"3","PIK3R5"
"KCNA3",2.42989287368193e-150,-0.596949951065148,0.147,0.323,8.89365090696324e-146,"3","KCNA3"
"PET100",4.55201193344563e-150,0.320318007098922,0.639,0.374,1.66608188776043e-145,"3","PET100"
"ATP5F1B",7.70600429609067e-150,0.339864372922721,0.851,0.619,2.82047463241215e-145,"3","ATP5F1B"
"URM1",1.08354992017718e-149,0.260204506476528,0.456,0.231,3.96590106284049e-145,"3","URM1"
"POLR2J",1.56869112315502e-149,0.296141275602736,0.551,0.301,5.74156637985969e-145,"3","POLR2J"
"WAC",1.99967362463418e-149,0.303578543450168,0.585,0.329,7.31900543352357e-145,"3","WAC"
"ARID5A.1",2.79317689872357e-149,0.403640939358775,0.662,0.416,1.02233067670181e-144,"3","ARID5A"
"MYH9.1",5.57433210147944e-149,0.371739367698583,0.885,0.683,2.04026129246249e-144,"3","MYH9"
"IL2RG.1",6.10301782598721e-149,0.330530579104866,0.937,0.77,2.23376555448958e-144,"3","IL2RG"
"SLC25A3",6.47447026173068e-149,0.353998053573769,0.871,0.678,2.36972086049605e-144,"3","SLC25A3"
"SYNGR2.1",1.91168016412159e-148,0.354885105834523,0.584,0.335,6.99694056870145e-144,"3","SYNGR2"
"SMCHD1",2.49183027886511e-148,-0.593277335231349,0.521,0.608,9.12034800367419e-144,"3","SMCHD1"
"CDC37.1",3.3470605156426e-148,0.335361463156892,0.828,0.571,1.22505761933035e-143,"3","CDC37"
"RAB2A",4.30418399001525e-148,0.302195793842158,0.594,0.338,1.57537438218548e-143,"3","RAB2A"
"PLAC8",1.51298238901442e-147,-0.562028677593429,0.105,0.279,5.53766684203167e-143,"3","PLAC8"
"SMAD7.2",2.15902054689279e-147,-0.648302203897826,0.104,0.276,7.90223110368232e-143,"3","SMAD7"
"CHCHD2",2.23248839950967e-147,0.314285860993462,0.933,0.765,8.17113079104536e-143,"3","CHCHD2"
"EFCAB14",3.27996460959649e-147,0.256822025921681,0.427,0.215,1.20049984675841e-142,"3","EFCAB14"
"DUSP1.3",6.87144631305636e-147,-0.7234926135773,0.889,0.883,2.51501806504176e-142,"3","DUSP1"
"GSK3B",7.54728507305382e-147,0.258406510381124,0.428,0.215,2.76238180958843e-142,"3","GSK3B"
"PRNP.1",2.51332604522685e-146,0.391216051386984,0.476,0.257,9.19902465813478e-142,"3","PRNP"
"MT-ND3.1",4.97230982875749e-146,0.305733963979677,0.993,0.985,1.81991512042353e-141,"3","MT-ND3"
"PSMC5",6.72775612775322e-146,0.305605998598312,0.636,0.371,2.46242602031896e-141,"3","PSMC5"
"REEP5.1",7.99054092202982e-146,0.258361642674284,0.47,0.244,2.92461788287213e-141,"3","REEP5"
"TOP1",1.53388740874781e-145,0.300895484178857,0.536,0.298,5.61418130475786e-141,"3","TOP1"
"WAS.1",1.82210000026003e-145,0.338731877435164,0.743,0.474,6.66906821095173e-141,"3","WAS"
"ATIC",2.39601425963245e-145,0.254699129488215,0.405,0.201,8.76965179168073e-141,"3","ATIC"
"TP53I13",2.76202188479557e-145,0.250450553440253,0.37,0.178,1.01092763005403e-140,"3","TP53I13"
"FDFT1",3.96205467727707e-145,0.276911663645031,0.54,0.293,1.45015163243018e-140,"3","FDFT1"
"TOX4",4.43141234014952e-145,0.25052422389817,0.463,0.238,1.62194123061813e-140,"3","TOX4"
"EIF2S2",7.6089983312212e-145,0.297125534654007,0.545,0.303,2.78496947921027e-140,"3","EIF2S2"
"RGS1.2",1.60781751743884e-144,-1.01959319298114,0.121,0.294,5.8847728955779e-140,"3","RGS1"
"ARID4B.1",1.6127774090387e-144,0.381233233833825,0.8,0.565,5.90292659482256e-140,"3","ARID4B"
"SINHCAF",1.85219294717538e-144,0.269095376829878,0.459,0.239,6.77921140595661e-140,"3","SINHCAF"
"SRSF4",6.48221921776456e-144,0.283112538585327,0.6,0.343,2.37255705589401e-139,"3","SRSF4"
"SPINT2",8.1360585535253e-144,0.31601946864222,0.471,0.252,2.97787879117579e-139,"3","SPINT2"
"NCOR1.1",9.01570660527646e-144,0.301283882856683,0.668,0.4,3.29983877459724e-139,"3","NCOR1"
"COX5B",1.34319512590215e-143,0.34030920611108,0.84,0.608,4.91622848031447e-139,"3","COX5B"
"FBXW5",2.23008269270915e-143,0.267064051203537,0.478,0.253,8.16232566358476e-139,"3","FBXW5"
"GOLPH3",3.17863521280526e-143,0.27868853907571,0.485,0.259,1.16341227423885e-138,"3","GOLPH3"
"KTN1.1",6.98227024505882e-143,0.315894875945959,0.669,0.407,2.55558073239398e-138,"3","KTN1"
"PSMA2",2.45294968931502e-142,0.307575825502299,0.6,0.344,8.97804115786191e-138,"3","PSMA2"
"CMTM3.1",1.14998057759503e-141,0.295641817069574,0.524,0.29,4.20904391205557e-137,"3","CMTM3"
"ATP11B",2.53515217239619e-141,0.25540853809856,0.404,0.203,9.27891046618729e-137,"3","ATP11B"
"CSRNP1.3",2.90613671342961e-141,-0.73419889710519,0.437,0.54,1.06367509848237e-136,"3","CSRNP1"
"SMARCC2",3.08354376151466e-141,0.30167884952152,0.515,0.286,1.12860785215198e-136,"3","SMARCC2"
"MCL1.2",2.21090884760145e-140,0.336049116267919,0.77,0.513,8.09214747310605e-136,"3","MCL1"
"ARMH1.2",2.47640838338378e-140,0.41832851358491,0.535,0.319,9.06390232402297e-136,"3","ARMH1"
"MRPL57",6.02680939463167e-140,0.293038076532749,0.555,0.315,2.20587250652914e-135,"3","MRPL57"
"OS9",7.44645418084975e-140,0.277034355830204,0.541,0.298,2.72547669473282e-135,"3","OS9"
"EIF5B",9.11600024503737e-140,0.304142419599586,0.49,0.268,3.33654724968613e-135,"3","EIF5B"
"FKBP8",1.29028038420047e-139,0.337818865536976,0.807,0.567,4.72255523421216e-135,"3","FKBP8"
"WAPL",2.62494174421203e-139,0.277858655118076,0.53,0.293,9.60754927799046e-135,"3","WAPL"
"TOMM6",1.19423211383354e-138,0.334431244318874,0.759,0.506,4.37100895984214e-134,"3","TOMM6"
"CTCF",1.23375502751147e-137,0.257209245177193,0.499,0.268,4.51566677619474e-133,"3","CTCF"
